Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 [128] accelerate_flow (d2q9-bgk.c:212 @ 401b7a) [39] collision (d2q9-bgk.c:333 @ 402629) [2] collision (d2q9-bgk.c:387 @ 402ba4)
 [134] av_velocity (d2q9-bgk.c:397 @ 402c5c) [93] collision (d2q9-bgk.c:331 @ 40265e) [5] collision (d2q9-bgk.c:385 @ 402bed)
 [129] av_velocity (d2q9-bgk.c:407 @ 402c8d) [19] collision (d2q9-bgk.c:337 @ 40266c) [36] collision (d2q9-bgk.c:386 @ 402c19)
  [41] av_velocity (d2q9-bgk.c:410 @ 402c99) [107] collision (d2q9-bgk.c:342 @ 402697) [23] collision (d2q9-bgk.c:385 @ 402c1d)
 [122] av_velocity (d2q9-bgk.c:413 @ 402cc2) [95] collision (d2q9-bgk.c:343 @ 4026a4) [8] collision (d2q9-bgk.c:383 @ 402c27)
  [38] av_velocity (d2q9-bgk.c:415 @ 402ccb) [96] collision (d2q9-bgk.c:344 @ 4026bc) [94] collision (d2q9-bgk.c:306 @ 402c35)
   [3] av_velocity (d2q9-bgk.c:417 @ 402cd4) [106] collision (d2q9-bgk.c:345 @ 4026d1) [141] finalise (d2q9-bgk.c:604 @ 403817)
  [11] av_velocity (d2q9-bgk.c:415 @ 402d15) [90] collision (d2q9-bgk.c:346 @ 4026e0) [142] initialise (d2q9-bgk.c:450 @ 402fef)
  [30] av_velocity (d2q9-bgk.c:421 @ 402d1f) [97] collision (d2q9-bgk.c:347 @ 4026ef) [137] propagate (d2q9-bgk.c:236 @ 401b91)
  [26] av_velocity (d2q9-bgk.c:422 @ 402d4d) [82] collision (d2q9-bgk.c:348 @ 402709) [115] propagate (d2q9-bgk.c:240 @ 401bb2)
  [31] av_velocity (d2q9-bgk.c:423 @ 402d7f) [109] collision (d2q9-bgk.c:353 @ 402718) [9] propagate (d2q9-bgk.c:244 @ 401bbe)
  [48] av_velocity (d2q9-bgk.c:424 @ 402db1) [7] collision (d2q9-bgk.c:354 @ 402725) [24] propagate (d2q9-bgk.c:245 @ 401bcd)
  [45] av_velocity (d2q9-bgk.c:425 @ 402ddf) [54] collision (d2q9-bgk.c:353 @ 40274d) [85] propagate (d2q9-bgk.c:246 @ 401bdc)
  [60] av_velocity (d2q9-bgk.c:426 @ 402e11) [76] collision (d2q9-bgk.c:356 @ 402752) [88] propagate (d2q9-bgk.c:247 @ 401bf8)
 [110] av_velocity (d2q9-bgk.c:424 @ 402e43) [66] collision (d2q9-bgk.c:357 @ 40277e) [16] propagate (d2q9-bgk.c:251 @ 401c14)
  [22] av_velocity (d2q9-bgk.c:421 @ 402e47) [81] collision (d2q9-bgk.c:358 @ 4027b1) [15] propagate (d2q9-bgk.c:252 @ 401c6f)
  [58] av_velocity (d2q9-bgk.c:429 @ 402e51) [108] collision (d2q9-bgk.c:356 @ 4027d0) [17] propagate (d2q9-bgk.c:253 @ 401ccc)
  [32] av_velocity (d2q9-bgk.c:430 @ 402e7f) [78] collision (d2q9-bgk.c:359 @ 4027d9) [14] propagate (d2q9-bgk.c:254 @ 401d29)
  [49] av_velocity (d2q9-bgk.c:431 @ 402eb1) [62] collision (d2q9-bgk.c:360 @ 402805) [20] propagate (d2q9-bgk.c:255 @ 401d86)
  [51] av_velocity (d2q9-bgk.c:432 @ 402ee3) [68] collision (d2q9-bgk.c:361 @ 402838) [21] propagate (d2q9-bgk.c:256 @ 401de3)
  [35] av_velocity (d2q9-bgk.c:433 @ 402f11) [103] collision (d2q9-bgk.c:359 @ 402857) [12] propagate (d2q9-bgk.c:257 @ 401e40)
  [42] av_velocity (d2q9-bgk.c:434 @ 402f43) [65] collision (d2q9-bgk.c:362 @ 402860) [18] propagate (d2q9-bgk.c:258 @ 401e9d)
 [119] av_velocity (d2q9-bgk.c:432 @ 402f75) [59] collision (d2q9-bgk.c:363 @ 40288c) [13] propagate (d2q9-bgk.c:259 @ 401efa)
 [100] av_velocity (d2q9-bgk.c:429 @ 402f79) [71] collision (d2q9-bgk.c:364 @ 4028bf) [92] propagate (d2q9-bgk.c:240 @ 401f57)
   [6] av_velocity (d2q9-bgk.c:437 @ 402f83) [133] collision (d2q9-bgk.c:362 @ 4028de) [130] propagate (d2q9-bgk.c:238 @ 401f67)
  [98] av_velocity (d2q9-bgk.c:439 @ 402fb7) [72] collision (d2q9-bgk.c:365 @ 4028e7) [138] rebound (d2q9-bgk.c:267 @ 401f7e)
  [91] av_velocity (d2q9-bgk.c:407 @ 402fbb) [40] collision (d2q9-bgk.c:366 @ 402910) [87] rebound (d2q9-bgk.c:271 @ 401fa3)
 [140] calc_reynolds (d2q9-bgk.c:625 @ 4038a7) [77] collision (d2q9-bgk.c:367 @ 40293d) [28] rebound (d2q9-bgk.c:274 @ 401faf)
